ID;Name;Opening Week Audience;Total Audience;Opening Week Revenue;Total Revenue;IMDB Score;Release Weeks;Release Date;Runtime;Location Count
1;Rafadan Tayfa Galaktik Tayfa;439.559;2.853.070;27656726;170239257;6,1;38;January;66;367
2;Sevda Mecburi Istikamet;36.051;95.678;2479881;6196974;6,3;5;January;97;316
3;Düses 1 - Mafya Sızıntısı;6.176;11.237;387378;668582;1,5;2;January;88;156
4;Evlad-ı Cin;3.496;6.385;200784;349814;3,4;3;January;78;73
5;The Fabelmans;2.897;8.772;256500;697766;7,5;11;January;151;70
6;Metronom;774;1.967;44955;106193;6,6;4;January;93;22
7;Operation Fortune: Ruse de guerre;44.875;117.232;3397191;8611062;6,3;9;January;104;298
8;Illegal Hayatlar;152.634;677.306;10825860;45971641;6,2;23;January;95;285
9;Tamiri Mumkun;6.760;12.928;527624;945667;8,6;4;January;103;162
10;Ammar 3: Cin Kabilesi;10.260;31.055;688288;1899583;2,6;10;January;81;110
11;M3GAN;15.870;54.439;1225197;3908761;6,3;7;January;104;109
12;EO;928;3.730;63325;225667;6,7;8;January;88;22
13;Kutsal Damacana 4;211.050;1.147.111;15154778;75264923;2,8;14;January;95;331
14;49;22.707;66.334;1537254;4042922;5,5;12;January;120;252
15;My Fairy Troublemaker;20.479;79.350;1459507;5169422;5,2;12;January;85;228
16;Rock Dog 3: Battle the Beat;5.435;17.351;379665;1064126;4,8;15;January;90;191
17;The Amazing Maurice;19.157;68.700;1364773;4414147;6,2;20;January;86;188
18;Babylon;11.140;46.342;1017163;4151522;7,1;10;January;183;107
19;Corsage;929;5.131;58887;305807;6,5;12;January;113;23
20;Puss in Boots: The Last Wish;135.346;816.621;9690003;56423043;7,8;18;January;100;300
21;Demir Kadın: Neslican;32.122;101.737;2215544;6444182;6,8;30;January;137;285
22;Ainbo;18.217;53.957;1369510;3693852;4,9;29;January;84;156
23;Plane;8.382;17.406;733861;1399191;6,5;4;January;107;113
24;Ifrit-i Cin;1.334;1.334;86532;86532;1,9;1;January;60;45
25;Mascarade;840;2.464;53893;147083;6,4;9;January;135;22
26;BTS: Yet to Come in Cinemas;14.417;42.162;1303989;3251349;8,6;1;Februrary;95;115
27;Prestij Meselesi;72.979;100.506;5765052;7987897;6,1;8;Februrary;121;350
28;Musallat 3;28.163;98.858;1963839;6618811;2,6;8;Februrary;90;227
29;Mumyalar;19.541;58.653;1476822;4261020;5,9;9;Februrary;89;162
30;Kulubeye Tiklat;6.703;15.356;583907;1251953;6,1;4;Februrary;100;76
31;The Banshees of Inisherin;5.729;18.021;572752;1556638;7,7;10;Februrary;94;38
32;Cennetten Gelen Cocuk;675;2.693;43092;147624;6,9;8;Februrary;126;19
33;Pinokyo: Sihirli Yolculuk;4.130;8.780;298627;590955;3,3;3;Februrary;80;129
34;Balina;5.712;43.468;570060;3478548;7,6;25;Februrary;117;86
35;Winnie the Pooh: Kan ve Bal;20.885;43.211;1570454;3110072;2,9;4;Februrary;84;264
36;Kırmızı Baslıklı Kız ve Bizim Kahramanlar;13.611;20.690;940517;1340027;3,9;5;Februrary;NA;258
37;Asteriks ve Oburiks: Orta Krallık;16.399;39.577;1192137;2721810;5,1;11;Februrary;101;175
38;Ucsuz Bucaksız;882;3.903;63522;243599;6,4;10;Februrary;98;21
39;Ant-Man ve Wasp: Quantumania;103.670;283.573;8499988;22105469;6,1;8;Februrary;125;326
40;Arı Maya 3: Altın Kure;30.643;122.984;2143442;7623647;5,1;12;Februrary;88;300
41;Cin Sureti;13.138;21.215;911896;1405686;6,1;2;Februrary;75;197
42;Lamborghini: Efsanenin Arkasındaki Adam;3.613;7.401;358252;717178;5,4;2;Februrary;97;68
43;Batıl 2;513;1.549;34655;91329;5;4;Februrary;74;29
44;Kaptan Porsuk Kayip Hazinenin Pesinde;9088;15611;683078;1093612;5,7;8;March;78;189
45;Creed III: Efsane Devam Ediyor;19.119;52.421;1737886;4555336;6,7;4;March;117;178
46;A Man Called Otto;11.703;33.368;1732756;2858752;7,5;14;March;126;144
47;Pathaan;4.538;7.571;370534;575395;5,8;2;March;146;129
48;The Nutcracker and the Magic Flute;3.411;5.025;245100;336839;5,3;;March;90;99
49;Living;3.149;8.707;281558;647409;7,2;15;March;162;66
50;Tom Medina;298;1.022;21745;57685;6,2;8;March;100;23
51;Scream VI;48.972;204.394;4064623;15733335;6,4;9;March;123;264
52;65;18.546;43.546;1538208;3402162;5,4;6;March;93;218
53;The Wishmas Tree;10.576;18.148;784644;1228819;4,9;7;March;90;172
54;Pinkfong: Baby Shark;5.087;7.610;381374;542430;5;9;March;75;157
55;Ne olacak benim halim?;4.918;8.188;366513;568246;4,8;4;March;115;139
56;Ucus 811;2.621;4.697;210729;354032;4,5;2;March;87;117
57;Tek Yurek Imalat-i Harbiye;2.944;5556;224454;395746;7,9;4;March;113;80
58;Ulan Salih;1.624;1.827;112904;122873;2,9;2;March;106;62
59;The Quiet Girl;1.259;4.157;89493;269364;7,7;9;March;94;36
60;Shazam! Fury of the Gods;45.009;92.456;3880;7410;5,9;5;March;130;286
61;Norm of the North: Family Vacation;20.403;51.288;1510308;3754815;2,9;13;March;90;257
62;Epic Tails;17.941;37.734;1355148;2792077;5,8;11;March;95;185
63;Haris;5.356;8.335;384339;563964;3;3;March;80;131
64;Cin Buyusu;6.599;12.220;490826;857745;4,4;6;March;71;108
65;Modelo 77;1.862;2.555;151024;198195;6,9;2;March;125;54
66;Rebel;443;1.269;30511;69125;7,3;4;March;133;25
67;John Wick 4;206.188;1.050.239;18393768;89032399;7,6;15;March;169;331
68;Louis Tomlinson: All of Those Voices;857;2.718;78527;222778;8,6;1;March;168;58
69;Gercek Cinler 2;2185;4.283;173146;314622;3,2;4;March;82;84
70;Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village;10.231;18.757;875608;1561240;7,6;3;March;110;73
71;Motelde Katliam;128;543;7515;33119;1,8;4;March;100;32
72;Eight Mountains;NA;NA;NA;NA;7,7;NA;March;147;20
73;The New Toy;218;478;22307;47707;5,9;4;March;112;18
74;Kestik Babacım;NA;NA;NA;NA;3,5;NA;March;80;7
75;Kral sakir: Mikrop Avcıları Cumburlop;59.080;197.875;4129393;13337445;4,9;11;March;80;216
76;The Friendship Game;6.071;13.688;467912;1016048;3,2;4;March;87;156
77;Ecinni 4: Ecel;6.552;20.386;476749;1411185;5,1;11;March;83;142
78;Missing;3.460;7.319;297173;598714;7,1;3;March;111;100
79;Cocaine Bear;2.166;4.432;205869;391063;5,9;3;March;95;82
80;Maybe I Do;1.164;3.831;170131;375016;5;10;March;95;40
81;Tchaikovsky's Wife;1.256;5.507;88170;367764;6,4;8;March;143;36
82;Kızım;45;73;2720;4325;3,6;2;March;85;17
83;Paranoid;NA;NA;NA;NA;4,8;NA;March;124;17
84;Dungeons & Dragons: Honor Among Thieves;22.127;65.235;1999481;5641114;7,2;5;April;134;266
85;Gizemli Ada Mencuna;19.341;56.571;1578809;4056109;5,4;10;April;102;219
86;Assassin;4.553;8.571;403154;700985;3,2;3;April;90;155
87;Simulant;3.252;6.640;330293;630354;5,2;2;April;98;73
88;Gasp;519;1.017;36072;66446;NA;2;April;90;45
89;Mitat;531;1.310;40026;92778;NA;3;April;101;40
90;Convenience Store;113;237;7595;15382;6,1;1;April;106;13
91;Hava Muhalefeti;22.123;124.978;1901241;9861791;5,6;7;April;106;308
92;Mannu Canakkale'de;22.004;136.094;1612354;8827598;5,8;29;April;81;302
93;The Super Mario Bros. Movie;73.788;541.660;6427096;43560041;7;15;April;92;292
